NAICSCode,ProjectCountyName,JobsReported,CurrentApprovalAmount,ForgivenessAmount,PAYROLL_PROCEED
312230.0,2,3,26147.0,0.0,26147.0
313210.0,2,14,66462.9,50890.23,66462.9
313220.0,2,4,26340.0,0.0,26333.0
313310.0,4,16,138018.0,0.0,124687.0
313320.0,1,7,66330.0,0.0,66329.0
314110.0,1,4,20300.0,0.0,20300.0
314120.0,1,5,4375.0,0.0,4375.0
314910.0,2,11,111033.32,91186.02,88483.32
314999.0,4,25,42901.0,15460.92,42901.0
315190.0,1,1,8236.0,0.0,8236.0
315210.0,10,96,591442.32,0.0,591421.32
315220.0,3,11,76047.0,73687.8,76041.0
315240.0,3,7,63400.0,23521.81,63400.0
315280.0,3,42,258582.0,184947.95,244575.0
315990.0,24,192,2312873.98,1930990.1500000001,2288794.98
316210.0,4,14,140376.0,99531.08,137351.0
316992.0,4,4,55807.5,0.0,55803.5
316998.0,2,8,41342.0,29375.2,35200.0
321213.0,1,1,20137.5,0.0,20137.5
321219.0,1,4,10005.0,0.0,10005.0
321911.0,6,29,191955.52,69588.97,187562.52
321918.0,3,63,542322.0,434410.52999999997,438722.0
321920.0,11,315,2494981.5,1996317.74,2203742.5
321991.0,1,44,635600.0,641520.66,439938.0
321999.0,9,74,600866.0,183073.0,600847.0
322121.0,2,24,348600.0,330389.14,259665.0
322211.0,4,140,1503562.5,516168.01,1386796.5
322212.0,3,385,3868602.0,478854.64,3318184.0
322220.0,2,17,164128.0,129853.24,164124.0
322230.0,1,2,3800.0,0.0,3800.0
323111.0,97,957,9866743.350000001,5233931.900000001,9514995.48
323113.0,43,286,1931665.25,493310.42,1817349.25
323117.0,1,1,14250.0,0.0,14244.0
323120.0,8,78,683881.0,184788.11000000002,614342.0
324121.0,10,57,450592.62,172134.54,419851.62
324191.0,1,5,145717.0,0.0,145714.0
324199.0,2,2,18915.0,0.0,18911.0
325110.0,4,35,591875.0,572846.98,591875.0
325180.0,3,46,426129.0,416050.82999999996,426129.0
325199.0,3,51,707429.0,664991.47,707426.0
