,NAICSCode, ProjectCountyName , JobsReported , CurrentApprovalAmount , ForgivenessAmount ,business_type,% of loan forgiven
254,333515, 3 , 191 ," 2,115,600 "," 1,197,967 ",Cutting Tool and Machine Tool Accessory Manufacturing,57%
756,711510, 145 , 190 ," 1,642,774 "," 183,159 ","Independent Artists, Writers, and Performers",11%
18,112120, 41 , 190 ," 1,516,787 "," 880,641 ",Dairy Cattle and Milk Production,58%
534,515112, 10 , 189 ," 1,557,826 "," 321,969 ",Radio Stations,21%
538,517312, 11 , 184 ," 1,079,929 "," 140,500 ",Wireless Telecommunications Carriers (except Satellite),13%
244,333241, 7 , 183 ," 2,141,569 "," 1,058,970 ",Food Product Machinery Manufacturing,49%
491,484122, 15 , 183 ," 1,976,681 "," 913,785 ","General Freight Trucking, Long-Distance, Less Than Truckload",46%
275,334310, 6 , 183 ," 1,665,647 "," 67,606 ",Audio and Video Equipment Manufacturing,4%
474,453991, 25 , 183 ," 960,053 "," 89,232 ",Tobacco Stores,9%
227,332721, 8 , 182 ," 2,365,109 "," 1,047,928 ",Precision Turned Product Manufacturing,44%
506,488119, 2 , 182 ," 1,255,405 "," 1,245,036 ",Other Airport Operations,99%
680,561740, 44 , 181 ," 1,574,488 "," 526,197 ",Carpet and Upholstery Cleaning Services,33%
424,442299, 24 , 181 ," 1,561,377 "," 490,603 ",All Other Home Furnishings Stores,31%
104,311812, 9 , 179 ," 1,764,032 "," 1,759,206 ",Commercial Bakeries,100%
772,721199, 44 , 179 ," 1,317,804 "," 186,258 ",All Other Traveler Accommodation,14%
817,813211, 14 , 179 ," 769,744 "," 368,682 ",Grantmaking Foundations,48%
367,423710, 9 , 176 ," 2,015,524 "," 1,649,756 ",Hardware Merchant Wholesalers,82%
199,331210, 8 , 176 ," 1,974,954 "," 377,158 ",Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,19%
230,332812, 8 , 175 ," 1,401,225 "," 433,389 ","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",31%
658,561330, 3 , 174 ," 760,906 "," 73,645 ",Professional Employer Organizations,10%
189,327120, 4 , 172 ," 1,971,964 "," 1,547,743 ",Clay Building Material and Refractories Manufacturing,78%
390,424420, 5 , 172 ," 1,735,041 "," 1,604,536 ",Packaged Frozen Food Merchant Wholesalers,92%
402,424690, 10 , 171 ," 2,116,689 "," 1,179,474 ",Other Chemical and Allied Products Merchant Wholesalers,56%
376,423860, 27 , 168 ," 1,593,518 "," 230,304 ",Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,14%
341,339950, 24 , 167 ," 1,484,274 "," 862,391 ",Sign Manufacturing,58%
435,445210, 14 , 167 ," 824,305 "," 311,751 ",Meat Markets,38%
782,722514, 11 , 167 ," 792,179 "," 112,141 ","Cafeterias, Grill Buffets, and Buffets",14%
212,332216, 5 , 166 ," 1,930,945 "," 454,083 ",Saw Blade and Handtool Manufacturing,24%
541,517919, 28 , 165 ," 2,123,459 "," 1,286,559 ",All Other Telecommunications,61%
510,488490, 23 , 165 ," 1,715,413 "," 626,721 ",Other Support Activities for Road Transportation,37%
646,541921, 103 , 165 ," 1,186,166 "," 215,457 ","Photography Studios, Portrait",18%
612,541320, 33 , 164 ," 1,534,213 "," 976,560 ",Landscape Architectural Services,64%
459,451120, 22 , 164 ," 1,323,633 "," 915,960 ","Hobby, Toy, and Game Stores",69%
567,523999, 70 , 163 ," 2,671,380 "," 1,559,546 ",Miscellaneous Financial Investment Activities,58%
297,335313, 5 , 163 ," 1,996,980 "," 775,297 ",Switchgear and Switchboard Apparatus Manufacturing,39%
644,541890, 60 , 163 ," 1,984,555 "," 969,654 ",Other Services Related to Advertising,49%
516,492210, 130 , 163 ," 1,365,369 "," 86,585 ",Local Messengers and Local Delivery,6%
383,424120, 13 , 162 ," 1,760,075 "," 830,225 ",Stationery and Office Supplies Merchant Wholesalers,47%
357,423420, 12 , 161 ," 993,120 "," 649,175 ",Office Equipment Merchant Wholesalers,65%
208,332111, 5 , 159 ," 1,860,567 ", -   ,Iron and Steel Forging,0%
476,454110, 34 , 158 ," 1,782,406 "," 756,776 ",Electronic Shopping and Mail-Order Houses,42%
477,454110, 34 , 158 ," 1,782,406 "," 756,776 ",Electronic Shopping and Mail-Order Houses,42%
478,454110, 34 , 158 ," 1,782,406 "," 756,776 ",Electronic Shopping and Mail-Order Houses,42%
288,334519, 5 , 156 ," 2,411,390 "," 729,589 ",Other Measuring and Controlling Device Manufacturing,30%
255,333517, 7 , 155 ," 2,495,214 "," 23,837 ",Machine Tool Manufacturing,1%
651,551112, 18 , 155 ," 2,258,391 "," 1,510,153 ",Offices of Other Holding Companies,67%
56,236117, 20 , 155 ," 1,543,609 "," 1,378,241 ",New Housing For-Sale Builders,89%
110,311920, 14 , 154 ," 1,174,229 "," 620,030 ",Coffee and Tea Manufacturing,53%
754,711320, 25 , 154 ," 563,393 "," 111,740 ","Promoters of Performing Arts, Sports, and Similar Events without Facilities",20%
404,424720, 8 , 153 ," 1,498,394 "," 415,528 ",Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),28%
809,812310, 24 , 153 ," 723,331 "," 195,877 ",Coin-Operated Laundries and Drycleaners,27%
439,445292, 8 , 153 ," 558,896 "," 339,703 ",Confectionery and Nut Stores,61%
452,448140, 30 , 152 ," 1,330,151 "," 108,054 ",Family Clothing Stores,8%
753,711310, 21 , 152 ," 593,031 "," 42,000 ","Promoters of Performing Arts, Sports, and Similar Events with Facilities",7%
91,311351, 5 , 150 ," 441,645 "," 88,891 ",Chocolate and Confectionery Manufacturing from Cacao Beans,20%
12,111419, 5 , 149 ," 577,385 "," 81,483 ",Other Food Crops Grown Under Cover,14%
166,325412, 4 , 148 ," 1,808,864 "," 1,676,515 ",Pharmaceutical Preparation Manufacturing,93%
573,524291, 9 , 147 ," 2,042,032 "," 1,675,580 ",Claims Adjusting,82%
380,423940, 25 , 147 ," 1,148,216 "," 472,364 ","Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",41%
43,212321, 6 , 146 ," 2,704,139 "," 6,032 ",Construction Sand and Gravel Mining,0%
698,611430, 25 , 146 ," 877,353 "," 395,972 ",Professional and Management Development Training,45%
26,112990, 8 , 146 ," 577,826 "," 14,864 ",All Other Animal Production,3%
637,541720, 9 , 141 ," 1,235,480 "," 1,024,924 ",Research and Development in the Social Sciences and Humanities,83%
215,332313, 10 , 140 ," 1,702,502 "," 788,247 ",Plate Work Manufacturing,46%
147,322211, 4 , 140 ," 1,503,563 "," 516,168 ",Corrugated and Solid Fiber Box Manufacturing,34%
427,444110, 11 , 140 ," 1,143,424 "," 654,100 ",Home Centers,57%
629,541614, 28 , 139 ," 1,907,151 "," 1,526,710 ","Process, Physical Distribution, and Logistics Consulting Services",80%
220,332420, 5 , 137 ," 1,974,411 "," 449,293 ",Metal Tank (Heavy Gauge) Manufacturing,23%
354,423330, 7 , 137 ," 1,696,726 "," 893,143 ","Roofing, Siding, and Insulation Material Merchant Wholesalers",53%
349,423140, 8 , 137 ," 1,081,343 "," 152,314 ",Motor Vehicle Parts (Used) Merchant Wholesalers,14%
194,327910, 3 , 135 ," 1,631,851 "," 1,073,724 ",Abrasive Product Manufacturing,66%
67,238120, 8 , 134 ," 1,963,105 "," 335,182 ",Structural Steel and Precast Concrete Contractors,17%
564,523920, 21 , 134 ," 1,706,776 "," 1,080,763 ",Portfolio Management,63%
233,332912, 2 , 133 ," 1,885,732 ", -   ,Fluid Power Valve and Hose Fitting Manufacturing,0%
327,337212, 11 , 133 ," 1,523,383 "," 614,545 ",Custom Architectural Woodwork and Millwork Manufacturing,40%
774,721214, 3 , 133 ," 590,054 "," 227,145 ",Recreational and Vacation Camps (except Campgrounds),38%
93,311412, 6 , 131 ," 1,384,241 "," 1,193,725 ",Frozen Specialty Food Manufacturing,86%
445,446191, 13 , 130 ," 807,153 "," 693,640 ",Food (Health) Supplement Stores,86%
223,332510, 3 , 128 ," 1,145,281 ", -   ,Hardware Manufacturing,0%
334,339114, 7 , 127 ," 1,209,916 "," 127,914 ",Dental Equipment and Supplies Manufacturing,11%
272,334118, 7 , 126 ," 1,937,969 "," 1,875,694 ",Computer Terminal and Other Computer Peripheral Equipment Manufacturing,97%
824,813910, 27 , 126 ," 1,571,734 "," 150,006 ",Business Associations,10%
251,333415, 3 , 125 ," 1,448,472 "," 1,458,565 ",Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,101%
557,522390, 6 , 125 ," 883,436 "," 608,265 ",Other Activities Related to Credit Intermediation,69%
271,334112, 2 , 124 ," 1,832,637 ", -   ,Computer Storage Device Manufacturing,0%
513,488999, 29 , 124 ," 1,117,262 "," 333,775 ",All Other Support Activities for Transportation,30%
494,484230, 27 , 122 ," 1,585,713 "," 1,205,881 ","Specialized Freight (except Used Goods) Trucking, Long-Distance",76%
253,333514, 7 , 122 ," 1,404,572 "," 1,093,453 ","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",78%
527,512110, 45 , 122 ," 1,104,588 "," 485,372 ",Motion Picture and Video Production,44%
773,721211, 9 , 122 ," 555,730 "," 295,509 ",RV (Recreational Vehicle) Parks and Campgrounds,53%
241,333120, 9 , 119 ," 2,239,599 "," 200,872 ",Construction Machinery Manufacturing,9%
652,551114, 4 , 117 ," 1,516,041 ", -   ,"Corporate, Subsidiary, and Regional Managing Offices",0%
347,423120, 18 , 116 ," 1,048,770 "," 603,988 ",Motor Vehicle Supplies and New Parts Merchant Wholesalers,58%
766,713930, 10 , 116 ," 658,982 "," 298,010 ",Marinas,45%
398,424510, 4 , 115 ," 1,009,749 "," 678,160 ",Grain and Field Bean Merchant Wholesalers,67%
801,811490, 38 , 115 ," 913,729 "," 253,390 ",Other Personal and Household Goods Repair and Maintenance,28%
552,522292, 8 , 114 ," 1,632,208 "," 113,058 ",Real Estate Credit,7%
450,448120, 47 , 114 ," 722,129 "," 135,098 ",Women's Clothing Stores,19%
396,424480, 5 , 113 ," 1,057,362 "," 204,213 ",Fresh Fruit and Vegetable Merchant Wholesalers,19%
598,532289, 21 , 113 ," 679,275 "," 24,931 ",All Other Consumer Goods Rental,4%
73,238190, 16 , 112 ," 1,065,867 "," 805,347 ","Other Foundation, Structure, and Building Exterior Contractors",76%
333,339113, 10 , 110 ," 1,316,375 "," 534,578 ",Surgical Appliance and Supplies Manufacturing,41%
535,515120, 6 , 110 ," 1,298,139 "," 134,702 ",Television Broadcasting,10%
666,561492, 12 , 110 ," 1,232,374 "," 593,822 ",Court Reporting and Stenotype Services,48%
602,532420, 11 , 110 ," 1,180,341 "," 405,322 ",Office Machinery and Equipment Rental and Leasing,34%
409,424930, 8 , 110 ," 844,496 "," 532,766 ","Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",63%
417,441222, 15 , 109 ," 933,670 "," 653,273 ",Boat Dealers,70%
161,325211, 2 , 108 ," 1,200,337 "," 701,637 ",Plastics Material and Resin Manufacturing,58%
7,111219, 14 , 108 ," 736,558 "," 179,156 ",Other Vegetable (except Potato) and Melon Farming,24%
180,326140, 6 , 107 ," 1,036,302 "," 229,211 ",Polystyrene Foam Product Manufacturing,22%
393,424450, 7 , 107 ," 1,029,989 "," 348,361 ",Confectionery Merchant Wholesalers,34%
798,811412, 19 , 107 ," 1,018,418 "," 621,439 ",Appliance Repair and Maintenance,61%
794,811212, 22 , 107 ," 880,209 "," 648,333 ",Computer and Office Machine Repair and Maintenance,74%
375,423850, 16 , 106 ," 1,205,430 "," 648,365 ",Service Establishment Equipment and Supplies Merchant Wholesalers,54%
605,541191, 12 , 106 ," 904,087 "," 387,592 ",Title Abstract and Settlement Offices,43%
720,621491, 3 , 106 ," 828,424 "," 50,835 ",HMO Medical Centers,6%
717,621391, 26 , 106 ," 709,981 "," 303,564 ",Offices of Podiatrists,43%
448,447190, 12 , 106 ," 529,072 "," 255,173 ",Other Gasoline Stations,48%
169,325510, 4 , 105 ," 1,536,011 "," 201,521 ",Paint and Coating Manufacturing,13%
575,524298, 51 , 105 ," 1,268,264 "," 533,999 ",All Other Insurance Related Activities,42%
750,711211, 17 , 105 ," 358,019 "," 90,870 ",Sports Teams and Clubs,25%
707,611692, 8 , 104 ," 463,568 "," 2,015 ",Automobile Driving Schools,0%
273,334220, 9 , 103 ," 1,471,825 "," 940,630 ",Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,64%
668,561510, 34 , 103 ," 1,267,741 "," 413,023 ",Travel Agencies,33%
369,423730, 8 , 102 ," 1,391,423 "," 1,107,298 ",Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,80%
181,326150, 2 , 102 ," 1,350,321 "," 1,322,719 ",Urethane and Other Foam Product (except Polystyrene) Manufacturing,98%
589,531320, 20 , 102 ," 1,225,362 "," 1,058,372 ",Offices of Real Estate Appraisers,86%
248,333318, 12 , 102 ," 1,101,037 "," 819,787 ",Other Commercial and Service Industry Machinery Manufacturing,74%
758,712120, 8 , 101 ," 1,030,610 "," 263,323 ",Historical Sites,26%
295,335311, 2 , 100 ," 1,202,173 "," 1,106,013 ","Power, Distribution, and Specialty Transformer Manufacturing",92%
786,811113, 16 , 100 ," 726,194 "," 363,959 ",Automotive Transmission Repair,50%
599,532310, 5 , 98 ," 1,301,724 "," 812,491 ",General Rental Centers,62%
449,448110, 27 , 98 ," 680,909 "," 216,110 ",Men's Clothing Stores,32%
365,423620, 6 , 96 ," 1,109,420 "," 133,733 ","Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",12%
317,336510, 1 , 96 ," 1,069,280 "," 1,076,252 ",Railroad Rolling Stock Manufacturing,101%
131,315210, 10 , 96 ," 591,442 ", -   ,Cut and Sew Apparel Contractors,0%
203,331410, 1 , 92 ," 1,313,317 "," 1,326,306 ",Nonferrous Metal (except Aluminum) Smelting and Refining,101%
107,311830, 1 , 92 ," 835,165 "," 841,915 ",Tortilla Manufacturing,101%
571,524128, 6 , 91 ," 1,507,121 "," 846,683 ","Other Direct Insurance (except Life, Health, and Medical) Carriers",56%
114,311999, 15 , 91 ," 882,636 "," 418,083 ",All Other Miscellaneous Food Manufacturing,47%
195,327991, 7 , 90 ," 919,785 "," 565,417 ",Cut Stone and Stone Product Manufacturing,61%
654,561210, 9 , 90 ," 459,144 "," 223,833 ",Facilities Support Services,49%
488,483114, 3 , 90 ," 86,800 "," 25,982 ",Coastal and Great Lakes Passenger Transportation,30%
787,811118, 28 , 89 ," 863,153 "," 436,594 ",Other Automotive Mechanical and Electrical Repair and Maintenance,51%
805,812191, 9 , 89 ," 310,086 "," 197,386 ",Diet and Weight Reducing Centers,64%
101,311615, 4 , 88 ," 547,249 "," 366,856 ",Poultry Processing,67%
690,562920, 3 , 86 ," 1,111,748 ", -   ,Materials Recovery Facilities,0%
468,453210, 6 , 85 ," 1,027,983 "," 496,893 ",Office Supplies and Stationery Stores,48%
386,424310, 6 , 85 ," 1,020,627 "," 360,891 ","Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",35%
509,488410, 16 , 85 ," 932,471 "," 603,925 ",Motor Vehicle Towing,65%
528,512131, 5 , 85 ," 598,295 "," 306,081 ",Motion Picture Theaters (except Drive-Ins),51%
749,711190, 32 , 85 ," 522,472 "," 105,650 ",Other Performing Arts Companies,20%
235,332919, 3 , 85 ," 237,854 "," 176,916 ",Other Metal Valve and Pipe Fitting Manufacturing,74%
355,423390, 18 , 83 ," 1,103,518 "," 135,203 ",Other Construction Material Merchant Wholesalers,12%
676,561622, 12 , 83 ," 894,945 "," 276,878 ",Locksmiths,31%
453,448150, 35 , 83 ," 428,451 "," 86,107 ",Clothing Accessories Stores,20%
752,711219, 10 , 83 ," 262,039 "," 166,523 ",Other Spectator Sports,64%
98,311611, 1 , 82 ," 1,607,972 "," 1,621,585 ",Animal (except Poultry) Slaughtering,101%
72,238170, 12 , 82 ," 492,531 "," 120,085 ",Siding Contractors,24%
431,444210, 8 , 80 ," 779,267 "," 432,322 ",Outdoor Power Equipment Stores,55%
790,811191, 4 , 80 ," 627,255 "," 567,356 ",Automotive Oil Change and Lubrication Shops,90%
315,336412, 2 , 79 ," 1,442,769 "," 1,458,421 ",Aircraft Engine and Engine Parts Manufacturing,101%
111,311930, 1 , 79 ," 883,150 ", -   ,Flavoring Syrup and Concentrate Manufacturing,0%
661,561422, 7 , 79 ," 458,200 "," 185,599 ",Telemarketing Bureaus and Other Contact Centers,41%
154,323120, 8 , 78 ," 683,881 "," 184,788 ",Support Activites for Printing,27%
80,238340, 8 , 77 ," 928,146 "," 14,235 ",Tile and Terrazzo Contractors,2%
546,519190, 14 , 77 ," 862,687 "," 379,939 ",All Other Information Services,44%
618,541410, 56 , 76 ," 883,289 "," 179,607 ",Interior Design Services,20%
471,453910, 21 , 76 ," 340,860 "," 92,728 ",Pet and Pet Supplies Stores,27%
505,487210, 5 , 76 ," 184,983 ", 892 ,"Scenic and Sightseeing Transportation, Water",0%
266,333994, 1 , 75 ," 1,614,162 ", -   ,Industrial Process Furnace and Oven Manufacturing,0%
635,541714, 19 , 75 ," 954,369 "," 455,731 ",Research and Development in Biotechnology (except Nanobiotechnology),48%
686,562112, 1 , 75 ," 559,877 ", -   ,Hazardous Waste Collection,0%
395,424470, 3 , 75 ," 488,742 "," 390,131 ",Meat and Meat Product Merchant Wholesalers,80%
145,321999, 9 , 74 ," 600,866 "," 183,073 ",All Other Miscellaneous Wood Product Manufacturing,30%
362,423490, 9 , 73 ," 1,068,584 "," 700,450 ",Other Professional Equipment and Supplies Merchant Wholesalers,66%
302,335999, 4 , 73 ," 1,013,524 "," 147,733 ",All Other Miscellaneous Electrical Equipment and Component Manufacturing,15%
237,332996, 2 , 73 ," 913,100 "," 921,340 ",Fabricated Pipe and Pipe Fitting Manufacturing,101%
645,541910, 9 , 73 ," 497,541 "," 461,585 ",Marketing Research and Public Opinion Polling,93%
461,451140, 14 , 73 ," 445,284 "," 133,769 ",Musical Instrument and Supplies Stores,30%
827,813990, 18 , 73 ," 381,078 "," 280,680 ","Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",74%
669,561520, 11 , 73 ," 179,506 "," 63,632 ",Tour Operators,35%
249,333413, 6 , 72 ," 886,005 "," 385,081 ",Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,43%
276,334412, 1 , 71 ," 704,100 "," 709,381 ",Bare Printed Circuit Board Manufacturing,101%
556,522320, 25 , 70 ," 1,036,386 "," 191,602 ","Financial Transactions Processing, Reserve, and Clearinghouse Activities",18%
16,111998, 14 , 70 ," 391,613 "," 212,462 ",All Other Miscellaneous Crop Farming,54%
407,424910, 5 , 69 ," 877,362 "," 837,644 ",Farm Supplies Merchant Wholesalers,95%
455,448210, 18 , 69 ," 308,303 "," 133,261 ",Shoe Stores,43%
518,493130, 1 , 68 ," 552,300 "," 545,717 ",Farm Product Warehousing and Storage,99%
120,312140, 8 , 68 ," 411,327 "," 134,333 ",Distilleries,33%
682,561910, 12 , 67 ," 572,127 "," 239,218 ",Packaging and Labeling Services,42%
50,221118, 4 , 66 ," 817,810 ", -   ,Other Electric Power Generation,0%
555,522310, 12 , 65 ," 835,567 "," 466,816 ",Mortgage and Nonmortgage Loan Brokers,56%
268,333997, 2 , 65 ," 639,654 "," 69,724 ",Scale and Balance Manufacturing,11%
828,814110, 7 , 65 ," 301,381 "," 133,928 ",Private Households,44%
296,335312, 1 , 64 ," 752,145 ", -   ,Motor and Generator Manufacturing,0%
569,524114, 19 , 64 ," 732,560 "," 544,326 ",Direct Health and Medical Insurance Carriers,74%
193,327390, 5 , 64 ," 717,595 "," 307,549 ",Other Concrete Product Manufacturing,43%
479,454210, 16 , 64 ," 472,752 "," 238,792 ",Vending Machine Operators,51%
384,424130, 5 , 63 ," 853,222 "," 824,766 ",Industrial and Personal Service Paper Merchant Wholesalers,97%
699,611511, 25 , 63 ," 548,104 "," 173,718 ",Cosmetology and Barber Schools,32%
142,321918, 3 , 63 ," 542,322 "," 434,411 ",Other Millwork (including Flooring),80%
521,511120, 10 , 63 ," 541,343 "," 117,803 ",Periodical Publishers,22%
52,221210, 4 , 61 ," 1,173,298 "," 415,684 ",Natural Gas Distribution,35%
198,331110, 5 , 61 ," 1,025,974 "," 962,622 ",Iron and Steel Mills and Ferroalloy Manufacturing,94%
321,337110, 15 , 61 ," 519,638 "," 333,811 ",Wood Kitchen Cabinet and Countertop Manufacturing,64%
789,811122, 13 , 61 ," 410,140 "," 201,973 ",Automotive Glass Replacement Shops,49%
701,611513, 7 , 61 ," 266,331 "," 126,548 ",Apprenticeship Training,48%
62,237130, 8 , 60 ," 716,244 "," 201,152 ",Power and Communication Line and Related Structures Construction,28%
246,333244, 2 , 59 ," 906,237 ", -   ,Printing Machinery and Equipment Manufacturing,0%
615,541350, 20 , 58 ," 496,954 "," 377,204 ",Building Inspection Services,76%
462,451211, 12 , 58 ," 273,873 "," 47,737 ",Book Stores,17%
760,712190, 5 , 57 ," 621,849 "," 507,857 ",Nature Parks and Other Similar Institutions,82%
755,711410, 20 , 57 ," 527,590 "," 83,561 ","Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",16%
155,324121, 10 , 57 ," 450,593 "," 172,135 ",Asphalt Paving Mixture and Block Manufacturing,38%
677,561710, 12 , 57 ," 412,052 "," 178,331 ",Exterminating and Pest Control Services,43%
656,561312, 16 , 56 ," 945,620 "," 308,928 ",Executive Search Services,33%
597,532284, 6 , 56 ," 100,310 "," 24,157 ",Recreational Goods Rental,24%
687,562119, 8 , 55 ," 964,335 "," 365,120 ",Other Waste Collection,38%
394,424460, 6 , 55 ," 676,636 "," 361,700 ",Fish and Seafood Merchant Wholesalers,53%
231,332813, 7 , 55 ," 623,450 "," 143,929 ","Electroplating, Plating, Polishing, Anodizing, and Coloring",23%
665,561491, 4 , 55 ," 529,690 "," 94,711 ",Repossession Services,18%
702,611519, 8 , 55 ," 286,065 "," 118,215 ",Other Technical and Trade Schools,41%
550,522220, 26 , 54 ," 778,061 "," 55,392 ",Sales Financing,7%
178,326122, 2 , 54 ," 412,080 "," 224,585 ",Plastics Pipe and Pipe Fitting Manufacturing,55%
228,332722, 1 , 53 ," 726,602 ", -   ,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",0%
337,339910, 14 , 53 ," 582,094 ", -   ,Jewelry and Silverware Manufacturing,0%
584,531130, 13 , 53 ," 223,301 "," 133,058 ",Lessors of Miniwarehouses and Self-Storage Units,60%
660,561421, 7 , 52 ," 360,533 "," 236,284 ",Telephone Answering Services,66%
239,333111, 2 , 52 ," 307,744 "," 302,395 ",Farm Machinery and Equipment Manufacturing,98%
160,325199, 3 , 51 ," 707,429 "," 664,991 ",All Other Basic Organic Chemical Manufacturing,94%
13,111421, 9 , 51 ," 389,794 "," 184,564 ",Nursery and Tree Production,47%
647,541922, 30 , 51 ," 384,308 "," 166,814 ",Commercial Photography,43%
603,532490, 9 , 51 ," 367,998 "," 214,345 ",Other Commercial and Industrial Machinery and Equipment Rental and Leasing,58%
532,512240, 9 , 51 ," 170,575 "," 45,490 ",Sound Recording Studios,27%
53,221310, 5 , 50 ," 677,278 ", -   ,Water Supply and Irrigation Systems,0%
616,541370, 9 , 50 ," 553,193 "," 227,023 ",Surveying and Mapping (except Geophysical) Services,41%
811,812331, 4 , 50 ," 316,622 "," 238,261 ",Linen Supply,75%
325,337127, 2 , 49 ," 559,274 "," 294,314 ",Institutional Furniture Manufacturing,53%
570,524126, 9 , 48 ," 816,379 "," 245,966 ",Direct Property and Casualty Insurance Carriers,30%
222,332439, 2 , 48 ," 467,374 "," 145,272 ",Other Metal Container Manufacturing,31%
568,524113, 13 , 47 ," 643,744 "," 512,667 ",Direct Life Insurance Carriers,80%
37,115210, 12 , 47 ," 199,029 "," 54,723 ",Support Activities for Animal Production,27%
366,423690, 11 , 46 ," 609,039 "," 138,913 ",Other Electronic Parts and Equipment Merchant Wholesalers,23%
545,519130, 11 , 46 ," 551,900 "," 86,851 ",Internet Publishing and Broadcasting and Web Search Portals,16%
48,221114, 5 , 46 ," 508,709 ", -   ,Solar Electric Power Generation,0%
159,325180, 3 , 46 ," 426,129 "," 416,051 ",Other Basic Inorganic Chemical Manufacturing,98%
663,561439, 11 , 46 ," 408,367 "," 247,225 ",Other Business Service Centers (including Copy Shops),61%
291,335121, 1 , 45 ," 547,090 ", -   ,Residential Electric Lighting Fixture Manufacturing,0%
260,333914, 2 , 44 ," 731,815 "," 728,104 ","Measuring, Dispensing, and Other Pumping Equipment Manufacturing",99%
261,333914, 2 , 44 ," 731,815 "," 728,104 ","Measuring, Dispensing, and Other Pumping Equipment Manufacturing",99%
144,321991, 1 , 44 ," 635,600 "," 641,521 ",Manufactured Home (Mobile Home) Manufacturing,101%
581,525990, 9 , 43 ," 665,478 "," 483,234 ",Other Financial Vehicles,73%
371,423810, 8 , 43 ," 651,968 "," 191,489 ",Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,29%
176,326112, 1 , 43 ," 401,192 "," 405,193 ",Plastics Packaging Film and Sheet (including Laminated) Manufacturing,101%
416,441210, 4 , 43 ," 387,634 "," 271,423 ",Recreational Vehicle Dealers,70%
353,423320, 12 , 43 ," 308,740 "," 135,170 ","Brick, Stone, and Related Construction Material Merchant Wholesalers",44%
112,311941, 3 , 42 ," 501,272 "," 194,622 ","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",39%
825,813920, 15 , 42 ," 394,579 "," 213,688 ",Professional Organizations,54%
134,315280, 3 , 42 ," 258,582 "," 184,948 ",Other Cut and Sew Apparel Manufacturing,72%
437,445230, 2 , 42 ," 170,149 ", -   ,Fruit and Vegetable Markets,0%
23,112519, 2 , 42 ," 156,085 "," 157,277 ",Other Aquaculture,101%
177,326121, 1 , 41 ," 510,107 "," 513,522 ",Unlaminated Plastics Profile Shape Manufacturing,101%
259,333912, 4 , 41 ," 440,309 "," 351,122 ",Air and Gas Compressor Manufacturing,80%
61,237120, 1 , 41 ," 419,592 "," 423,638 ",Oil and Gas Pipeline and Related Structures Construction,101%
109,311919, 4 , 41 ," 372,131 "," 187,237 ",Other Snack Food Manufacturing,50%
323,337122, 5 , 41 ," 363,337 "," 199,521 ",Nonupholstered Wood Household Furniture Manufacturing,55%
795,811219, 14 , 40 ," 460,162 "," 244,469 ",Other Electronic and Precision Equipment Repair and Maintenance,53%
835,922160, 4 , 39 ," 536,467 "," 500,735 ",Fire Protection,93%
670,561591, 2 , 39 ," 445,690 ", -   ,Convention and Visitors Bureaus,0%
563,523910, 8 , 39 ," 445,483 "," 9,580 ",Miscellaneous Intermediation,2%
685,562111, 5 , 39 ," 387,965 "," 131,271 ",Solid Waste Collection,34%
5,111199, 5 , 39 ," 227,613 "," 170,847 ",All Other Grain Farming,75%
662,561431, 8 , 39 ," 158,262 "," 110,032 ",Private Mail Centers,70%
229,332811, 6 , 38 ," 414,945 "," 129,032 ",Metal Heat Treating,31%
641,541850, 2 , 38 ," 253,365 "," 223,772 ",Outdoor Advertising,88%
252,333511, 4 , 37 ," 503,673 "," 192,917 ",Industrial Mold Manufacturing,38%
39,211120, 1 , 37 ," 500,515 ", -   ,Crude Petroleum Extraction,0%
405,424810, 3 , 37 ," 226,924 "," 221,140 ",Beer and Ale Merchant Wholesalers,97%
839,925110, 7 , 37 ," 205,899 "," 132,677 ",Administration of Housing Programs,64%
580,525920, 2 , 37 ," 188,440 "," 86,296 ","Trusts, Estates, and Agency Accounts",46%
763,713290, 1 , 37 ," 184,301 ", -   ,Other Gambling Industries,0%
158,325110, 4 , 35 ," 591,875 "," 572,847 ",Petrochemical Manufacturing,97%
